lat,lon,elevation,slope,susceptibility,is_ner
29.75031492721233,68.00023196501874,458,21.104511260986328,0.14341123,0
30.000136407725968,68.00023196501874,818,20.667116165161133,0.023181906,0
30.249957888239607,68.00023196501874,2094,33.06071853637695,0.93931365,0
30.499779368753245,68.00023196501874,2307,17.827421188354492,0.96695787,0
30.749600849266887,68.00023196501874,2072,13.938553810119629,0.92826,0
31.49987377456351,68.00023196501874,2145,8.759799003601074,0.9432605,0
33.500062586184036,68.00023196501874,2926,5.328158378601074,0.84842277,0
33.749884066697675,68.00023196501874,3480,6.530278205871582,0.87879723,0
33.99970554721131,68.00023196501874,3025,5.011364936828613,0.6113756,0
34.5001569919943,68.00023196501874,2965,15.602356910705566,0.6134862,0
34.749978472507934,68.00023196501874,3030,35.68527603149414,0.91467464,0
34.99979995302158,68.00023196501874,2317,19.67881202697754,0.9735657,0
35.24962143353522,68.00023196501874,1756,24.161273956298828,0.97990704,0
29.75031492721233,68.25005344553239,645,36.02861404418945,0.76668185,0
30.000136407725968,68.25005344553239,1126,8.841422080993652,0.5864718,0
30.249957888239607,68.25005344553239,1742,5.628174304962158,0.89876705,0
30.499779368753245,68.25005344553239,1974,18.689111709594727,0.96858317,0
31.00023081353623,68.25005344553239,2381,18.38946533203125,0.9846528,0
31.49987377456351,68.25005344553239,2119,17.947315216064453,0.98671526,0
33.500062586184036,68.25005344553239,2754,16.45681381225586,0.9014529,0
33.99970554721131,68.25005344553239,3164,21.596168518066406,0.39792985,0
34.25033551148066,68.25005344553239,2800,9.976787567138672,0.90515167,0
34.5001569919943,68.25005344553239,3058,5.776920795440674,0.7180547,0
34.749978472507934,68.25005344553239,3403,16.326326370239258,0.7404676,0
34.99979995302158,68.25005344553239,3473,24.75688934326172,0.49759677,0
35.24962143353522,68.25005344553239,2371,15.154197692871094,0.9667498,0
26.75003170978154,68.499874926046,38,7.449998378753662,0.035456363,0
29.000042001915705,68.499874926046,195,7.729623794555664,0.023423206,0
29.249863482429344,68.499874926046,1249,11.057971000671387,0.8704817,0
29.499684962942982,68.499874926046,511,19.33739471435547,0.16279219,0
29.75031492721233,68.499874926046,845,10.60981273651123,0.08270799,0
30.499779368753245,68.499874926046,1742,22.138328552246094,0.95240045,0
31.250052294049873,68.499874926046,2084,6.108473300933838,0.9725363,0
31.49987377456351,68.499874926046,2226,27.960416793823242,0.94848424,0
33.99970554721131,68.499874926046,2561,11.72597885131836,0.8258583,0
34.25033551148066,68.499874926046,2508,14.160506248474121,0.98028654,0
34.5001569919943,68.499874926046,3728,13.351716995239258,0.32801136,0
34.749978472507934,68.499874926046,3150,18.62628173828125,0.71617126,0
34.99979995302158,68.499874926046,2958,19.312847137451172,0.54390866,0
35.24962143353522,68.499874926046,3633,33.799835205078125,0.18319273,0
26.999853190295177,68.74969640655965,69,5.8748273849487305,0.013434244,0
29.000042001915705,68.74969640655965,511,5.233332633972168,0.015403053,0
29.249863482429344,68.74969640655965,976,16.384239196777344,0.35965768,0
29.499684962942982,68.74969640655965,1090,6.908519268035889,0.4636044,0
29.75031492721233,68.74969640655965,1080,5.321963787078857,0.5252916,0
30.000136407725968,68.74969640655965,929,6.694996356964111,0.10562233,0
30.249957888239607,68.74969640655965,1398,7.003466606140137,0.9618006,0
30.499779368753245,68.74969640655965,1870,27.43376922607422,0.984271,0
30.749600849266887,68.74969640655965,1495,5.687289237976074,0.903118,0
31.00023081353623,68.74969640655965,1880,12.20382022857666,0.97197443,0
31.250052294049873,68.74969640655965,2368,5.063168525695801,0.94740885,0
31.49987377456351,68.74969640655965,2073,12.914776802062988,0.9111654,0
31.74969525507715,68.74969640655965,1976,9.764485359191895,0.8870385,0
32.25014669986014,68.74969640655965,2351,5.2573771476745605,0.9673354,0
32.749789660887416,68.74969640655965,2732,15.024358749389648,0.888514,0
33.99970554721131,68.74969640655965,2264,8.253340721130371,0.8504826,0
34.25033551148066,68.74969640655965,2957,35.99647521972656,0.66609424,0
34.5001569919943,68.74969640655965,2803,29.910354614257812,0.7115002,0
34.749978472507934,68.74969640655965,3268,30.45453453063965,0.68942255,0
35.24962143353522,68.74969640655965,3803,14.45831298828125,0.17271659,0
26.75003170978154,69.00032637082899,63,5.569437026977539,0.01155113,0
29.499684962942982,69.00032637082899,783,5.127938747406006,0.12179686,0
30.000136407725968,69.00032637082899,1058,8.356088638305664,0.595669,0
30.749600849266887,69.00032637082899,1645,17.096202850341797,0.9840634,0
31.00023081353623,69.00032637082899,1650,25.203466415405273,0.9902638,0
31.49987377456351,69.00032637082899,2093,18.114500045776367,0.9737924,0
31.74969525507715,69.00032637082899,1836,12.300947189331055,0.98671514,0
32.00032521934649,69.00032637082899,2084,33.199676513671875,0.95829886,0
32.25014669986014,69.00032637082899,1611,5.932225227355957,0.9635252,0
32.49996818037377,69.00032637082899,2198,10.579606056213379,0.91614133,0
32.749789660887416,69.00032637082899,2472,7.7750349044799805,0.97298354,0
33.749884066697675,69.00032637082899,2727,25.9139461517334,0.68165857,0
33.99970554721131,69.00032637082899,2067,9.015668869018555,0.9642975,0
34.25033551148066,69.00032637082899,2316,11.628567695617676,0.94923824,0
34.749978472507934,69.00032637082899,2235,18.761865615844727,0.52547216,0
34.99979995302158,69.00032637082899,2498,30.655426025390625,0.8074142,0
35.24962143353522,69.00032637082899,4280,8.307991027832031,0.2991811,0
30.000136407725968,69.25014785134263,1155,10.150901794433594,0.5411168,0
30.249957888239607,69.25014785134263,1233,7.685883045196533,0.71054,0
31.49987377456351,69.25014785134263,1643,11.007525444030762,0.98184747,0
31.74969525507715,69.25014785134263,2372,20.323942184448242,0.8084271,0
32.25014669986014,69.25014785134263,1656,14.786815643310547,0.9369928,0
32.49996818037377,69.25014785134263,2150,5.117100238800049,0.7162311,0
32.749789660887416,69.25014785134263,2291,26.222686767578125,0.8301097,0
33.2502411056704,69.25014785134263,2883,13.955609321594238,0.5762678,0
33.500062586184036,69.25014785134263,2806,11.319156646728516,0.82020557,0
33.749884066697675,69.25014785134263,2817,12.746199607849121,0.84250236,0
34.25033551148066,69.25014785134263,2137,5.592545509338379,0.8508169,0
35.24962143353522,69.25014785134263,2952,33.54290008544922,0.35798627,0
24.500021417647375,69.49996933185628,32,6.097475051879883,0.018473096,0
26.5002102292679,69.49996933185628,50,9.246329307556152,0.033101086,0
29.000042001915705,69.49996933185628,531,5.929595470428467,0.019951036,0
30.249957888239607,69.49996933185628,1294,17.47468376159668,0.73154515,0
